,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Aarey Milk Colony,19.1561292,72.8707223,Aarey Garden Restaurant,19.15551434258381,72.87823613224917,Indian Restaurant
1,Aarey Milk Colony,19.1561292,72.8707223,Panchvati Fast Food Corner,19.15762809596761,72.87450648963448,Fast Food Restaurant
2,Aarey Milk Colony,19.1561292,72.8707223,Chota Kashmir Boating,19.160905232933896,72.87248158416145,Lake
3,Aarey Milk Colony,19.1561292,72.8707223,Chota Kashmir,19.163541755486165,72.87348730854406,Monument / Landmark
4,Abhyudaya Nagar,18.990477399999996,72.84405709305909,Ladu Samrat,18.994526327955356,72.83657359834994,Indian Restaurant
5,Abhyudaya Nagar,18.990477399999996,72.84405709305909,Lalbaug,18.991976392250358,72.83622079646518,Plaza
6,Abhyudaya Nagar,18.990477399999996,72.84405709305909,7 Spice - Chinese Restaurant,18.995603027509095,72.83906022381811,Chinese Restaurant
7,Abhyudaya Nagar,18.990477399999996,72.84405709305909,Cotton Green Railway Station,18.986664490743028,72.84320221222806,Train Station
8,Abhyudaya Nagar,18.990477399999996,72.84405709305909,Euro RSCG,18.996625145751093,72.84099261589157,Office
9,Abhyudaya Nagar,18.990477399999996,72.84405709305909,Pixies & Pearls,18.99605621273714,72.83945075644364,Women's Store
10,Abhyudaya Nagar,18.990477399999996,72.84405709305909,Table Tennis @ MTV,18.997817,72.8391655,Stadium
11,Airoli,19.1585147,72.9994018533116,West Coast Grill,19.16040138322943,72.99203916554967,Burger Joint
12,Airoli,19.1585147,72.9994018533116,Priyanka,19.160195505577885,72.99997681141292,Indian Restaurant
13,Airoli,19.1585147,72.9994018533116,Priyanka Veg Restaurant,19.16061727757987,72.99852956655108,Vegetarian / Vegan Restaurant
14,Airoli,19.1585147,72.9994018533116,D-Mart,19.15650095952458,72.9985468643511,Department Store
15,Airoli,19.1585147,72.9994018533116,Airoli Bus Depot,19.156526311986326,72.99818937622503,Bus Station
16,Airoli,19.1585147,72.9994018533116,Falcon Gym airoli,19.160541385253158,72.9954298924128,Gym
17,Airoli,19.1585147,72.9994018533116,Hotel Abhinandan,19.15362045958671,72.99941175272761,Restaurant
18,Airoli,19.1585147,72.9994018533116,Cafe Coffee Day CCD Airoli,19.158591065603154,72.99194477816002,Coffee Shop
19,Airoli,19.1585147,72.9994018533116,Zankar Juice N Snacks Corner,19.161934711425708,72.99194477816002,Fast Food Restaurant
20,Airoli,19.1585147,72.9994018533116,New Bismillah Catering,19.16178,72.991737,Indian Restaurant
21,Airoli,19.1585147,72.9994018533116,Bruciato Food Factory,19.161068,72.991109,Italian Restaurant
22,Airoli,19.1585147,72.9994018533116,carnivore,19.161098327625922,72.99106833006964,Chinese Restaurant
23,Alika Nagar,19.1983965,72.8742672,Baskin Robbins,19.19707655501576,72.87251619807277,Ice Cream Shop
